Kde;Qty;Value;Device;Package;Parts;Description;MF;MPN;OC_FARNELL;OC_MOUSER;OC_NEWARK;TP_SIGNAL_NAME
.;2;SJ_NC;SJ_NC;SJ_NC;U$1, U$2;;;;;;;
.;4;TPTP20SQ;TPTP20SQ;TP20SQ;TP1, TP2, TP3, TP4;Test pad;;;;;;
cina;4;DRV8833_BOARD;DRV8833_BOARD;PINHEAD;IM7, IM8, IM9, IM10;;;;;;;
cina;1;LEVEL_SHIFTER;LEVEL_SHIFTER;LEVEL_SHIFTER;IM11;;;;;;;
cina;1;M1;W237-02P;W237-132;X7;WAGO SREW CLAMP;;;unknown;;unknown;
cina;1;M2;W237-02P;W237-132;X3;WAGO SREW CLAMP;;;unknown;;unknown;
cina;1;M3;W237-02P;W237-132;X8;WAGO SREW CLAMP;;;unknown;;unknown;
cina;1;M4;W237-02P;W237-132;X4;WAGO SREW CLAMP;;;unknown;;unknown;
cina;1;M5;W237-02P;W237-132;X9;WAGO SREW CLAMP;;;unknown;;unknown;
cina;1;M6;W237-02P;W237-132;X5;WAGO SREW CLAMP;;;unknown;;unknown;
cina;1;M7;W237-02P;W237-132;X10;WAGO SREW CLAMP;;;unknown;;unknown;
cina;1;M8;W237-02P;W237-132;X6;WAGO SREW CLAMP;;;unknown;;unknown;
cina;1;POWER_IN;W237-02P;W237-132;X1;WAGO SREW CLAMP;;;unknown;;unknown;
cina;1;POWER_OUT;W237-02P;W237-132;X2;WAGO SREW CLAMP;;;unknown;;unknown;
cina;5;STEPDOWN;STEPDOWN;STEPDOWN;IM1, IM2, IM3, IM4, IM5;;;;;;;
mame?;2;10u;C-EUC1206;C1206;C3, C4;CAPACITOR, European symbol;;;;;;
mame?;5;100n;C-EUC1206;C1206;C1, C2, C5, C6, C7;CAPACITOR, European symbol;;;;;;
mame?;1;;LED3MM;LED3MM;LEDP;LED;;;;;;
mame?;1;BLUE/WHITE;LED3MM;LED3MM;LED4;LED;;;;;;
mame?;1;GREEN;LED3MM;LED3MM;LED3;LED;;;;;;
mame?;1;RED;LED3MM;LED3MM;LED1;LED;;;;;;
mame?;1;YELLOW;LED3MM;LED3MM;LED2;LED;;;;;;
mame?;1;PIEZO;PIEZO;PIEZO;PIEZO;;;;;;;
pinhead;1;3V3_GND_1;PINHD-2X16;2X16;JP18;PIN HEADER;;;;;;
pinhead;1;3V3_GND_2;PINHD-2X16;2X16;JP19;PIN HEADER;;;;;;
pinhead;1;5V_GND_1;PINHD-2X16;2X16;JP12;PIN HEADER;;;;;;
pinhead;1;5V_GND_2;PINHD-2X16;2X16;JP13;PIN HEADER;;;;;;
pinhead;1;5V_GND_3;PINHD-2X8;2X08;JP14;PIN HEADER;;;;;;
pinhead;1;EXPANDER_IN;PINHD-1X8;1X08;JP26;PIN HEADER;;;;;;
pinhead;1;EXPANDER_OUT;PINHD-1X8;1X08;JP25;PIN HEADER;;;;;;
pinhead;1;I2C1_3V3;PINHD-1X4;1X04;JP40;PIN HEADER;;;;;;
pinhead;1;I2C1_5V;PINHD-1X4;1X04;JP45;PIN HEADER;;;;;;
pinhead;1;I2C2_3V3;PINHD-1X4;1X04;JP41;PIN HEADER;;;;;;
pinhead;1;I2C2_5V;PINHD-1X4;1X04;JP44;PIN HEADER;;;;;;
pinhead;1;I2C3_3V3;PINHD-1X4;1X04;JP42;PIN HEADER;;;;;;
pinhead;1;IC1_INT;PINHD-1X2;1X02;JP6;PIN HEADER;;;;;;
pinhead;1;IM10_ULT;PINHD-1X1;1X01;JP30;PIN HEADER;;;;;;
pinhead;1;IM11_HVIOREF;PINHD-1X1;1X01;JP39;PIN HEADER;;;;;;
pinhead;1;IM1_2;PINHD-1X2;1X02;JP7;PIN HEADER;;;;;;
pinhead;1;IM1_EN;PINHD-1X1;1X01;JP1;PIN HEADER;;;;;;
pinhead;1;IM2_3;PINHD-1X2;1X02;JP8;PIN HEADER;;;;;;
pinhead;1;IM2_EN;PINHD-1X1;1X01;JP2;PIN HEADER;;;;;;
pinhead;1;IM3_4;PINHD-1X2;1X02;JP9;PIN HEADER;;;;;;
pinhead;1;IM3_EN;PINHD-1X1;1X01;JP3;PIN HEADER;;;;;;
pinhead;1;IM4_5;PINHD-1X2;1X02;JP10;PIN HEADER;;;;;;
pinhead;1;IM4_EN;PINHD-1X1;1X01;JP4;PIN HEADER;;;;;;
pinhead;1;IM5_EN;PINHD-1X1;1X01;JP5;PIN HEADER;;;;;;
pinhead;1;IM7_ULT;PINHD-1X1;1X01;JP27;PIN HEADER;;;;;;
pinhead;1;IM8_ULT;PINHD-1X1;1X01;JP28;PIN HEADER;;;;;;
pinhead;1;IM9_ULT;PINHD-1X1;1X01;JP29;PIN HEADER;;;;;;
pinhead;1;IO1_5V;PINHD-1X3;1X03;JP23;PIN HEADER;;;;;;
pinhead;1;IO2_5V;PINHD-1X3;1X03;JP22;PIN HEADER;;;;;;
pinhead;1;M1;PINHD-1X6;1X06;JP35;PIN HEADER;;;;;;
pinhead;1;M2;PINHD-1X6;1X06;JP31;PIN HEADER;;;;;;
pinhead;1;M3;PINHD-1X6;1X06;JP36;PIN HEADER;;;;;;
pinhead;1;M4;PINHD-1X6;1X06;JP32;PIN HEADER;;;;;;
pinhead;1;M5;PINHD-1X6;1X06;JP37;PIN HEADER;;;;;;
pinhead;1;M6;PINHD-1X6;1X06;JP33;PIN HEADER;;;;;;
pinhead;1;M7;PINHD-1X6;1X06;JP38;PIN HEADER;;;;;;
pinhead;1;M8;PINHD-1X6;1X06;JP34;PIN HEADER;;;;;;
pinhead;1;PIEZO_ON;PINHD-1X2/90;1X02/90;JP43;PIN HEADER;;;;;;
pinhead;1;RESET;PINHD-1X2;1X02;JP21;PIN HEADER;;;;;;
pinhead;1;SHUTDOWN_ESP;PINHD-1X2;1X02;JP24;PIN HEADER;;;;;;
pinhead;1;SIG1;PINHD-2X16;2X16;JP15;PIN HEADER;;;;;;
pinhead;1;SIG2;PINHD-2X16;2X16;JP16;PIN HEADER;;;;;;
pinhead;1;SIG3;PINHD-2X8;2X08;JP17;PIN HEADER;;;;;;
pinhead;1;START_BUTTON;PINHD-1X2;1X02;JP11;PIN HEADER;;;;;;
pinhead;1;STOP_BUTTON;PINHD-1X2;1X02;JP20;PIN HEADER;;;;;;
sos;1;DEVKITC;DEVKITC;DEVKITC;IM6;;;;;;;
TME;7;10k;R-EU_0204/2V;0204V;R3, R8, R9, R10, R19, R20, R56;RESISTOR, European symbol;;;;;;
TME;2;2M;R-EU_0204/2V;0204V;R18, R55;RESISTOR, European symbol;;;;;;
TME;7;3k3;R-EU_0204/2V;0204V;R1, R4, R6, R7, R15, R16, R17;RESISTOR, European symbol;;;;;;
TME;1;82k;R-EU_0204/2V;0204V;R2;RESISTOR, European symbol;;;;;;
TME;1;100k;R-EU_0204/2V;0204V;R5;RESISTOR, European symbol;;;;;;
TME;2;;N-MOSFET-TO92;TO92;Q2, Q4;;;;;;;
TME;2;;P-MOSFET-TO220V;TO220V;Q1, Q3;;;;;;;
TME;4;1k;R-EU_0204/2V;0204V;R11, R12, R13, R14;RESISTOR, European symbol;;;;;;
TME;3;;10-XX;B3F-10XX;SW1, SW2, SW3;OMRON SWITCH;;B3F-1000;176432;;36M3542;
TME;1;;DIODE-D-2.5;D-2.5;D1;DIODE;;;;;;
TME;1;;DIODE-D-7.5;D-7.5;D2;DIODE;;;;;;
TME;5;;E7R;SIL14;RN1, RN2, RN3, RN4, RN5;SIL RESISTOR;;;unknown;652-4614X-2LF-180;unknown;
TME;2;74HC595D;74HC595D;SO16;IC2, IC3;8-bit SHIFT REGISTER, output latch;;;;;;
TME;1;MCP23017SP;MCP23017SP;DIL28-3;IC1;http://ww1.microchip.com/downloads/en/DeviceDoc/21952a.pdf;MICROCHIP;MCP23017-E/SP;1332088;;31K2959;
